ABL1 	 NM_005157
ACVR1 	 NM_001111067
AGO2 	 NM_012154
AKT1 	 NM_001014431
AKT2 	 NM_001626
AKT3 	 NM_005465
ALK 	 NM_004304
ALOX12B 	 NM_001139
AMER1 	 NM_152424
ANKRD11 	 NM_013275
APC 	 NM_000038
AR 	 NM_000044
ARAF 	 NM_001654
ARID1A 	 NM_006015
ARID1B 	 NM_020732
ARID2 	 NM_152641
ARID5B 	 NM_032199
ASXL1 	 NM_015338
ASXL2 	 NM_018263
ATM 	 NM_000051
ATR 	 NM_001184
ATRX 	 NM_000489
AURKA 	 NM_003600
AURKB 	 NM_004217
AXIN1 	 NM_003502
AXIN2 	 NM_004655
AXL 	 NM_021913
B2M 	 NM_004048
BABAM1 	 NM_001033549
BAP1 	 NM_004656
BARD1 	 NM_000465
BBC3 	 NM_001127240
BCL10 	 NM_003921
BCL2 	 NM_000633
BCL2L1 	 NM_138578
BCL2L11 	 NM_138621
BCL6 	 NM_001706
BCOR 	 NM_001123385
BIRC3 	 NM_182962
BLM 	 NM_000057
BMPR1A 	 NM_004329
BRAF 	 NM_004333
BRCA1 	 NM_007294
BRCA2 	 NM_000059
BRD4 	 NM_058243
BRIP1 	 NM_032043
BTK 	 NM_000061
CALR 	 NM_004343
CARD11 	 NM_032415
CARM1 	 NM_199141
CASP8 	 NM_001080125
CBFB 	 NM_022845
CBL 	 NM_005188
CCND1 	 NM_053056
CCND2 	 NM_001759
CCND3 	 NM_001760
CCNE1 	 NM_001238
CD274 	 NM_014143
CD276 	 NM_001024736
CD79A 	 NM_001783
CD79B 	 NM_001039933
CDC42 	 NM_001791
CDC73 	 NM_024529
CDH1 	 NM_004360
CDK12 	 NM_016507
CDK4 	 NM_000075
CDK6 	 NM_001145306
CDK8 	 NM_001260
CDKN1A 	 NM_078467
CDKN1B 	 NM_004064
CDKN2Ap14ARF 	 NM_058195
CDKN2Ap16INK4A 	 NM_000077
CDKN2B 	 NM_004936
CDKN2C 	 NM_078626
